"Measurement
Format:wav
Channel:mono
SR:48kHz BR:24bit
Loudness: -16LUFS(M)
Mic Distance: 40-60cm",,,,,,"We listed 3 lines for every action for random
slightly different Tone is welcome",,,,,,,,,,,,,,,,,,,,,,,,,
"Batches
（批次）","Progress
（整合进度",WwiseEvent,"No.
(序号）","Type
（语音类型）","Action
（模块/触发条件）","Speaker
（角色名）",TechnicalName,"Emotion
（情绪/语气）","Randomization
(TakeCount)","Dialogue (CN)
（台词）","Emotion (JP)
（情绪/语气）","Dialogue (JP)
（台词）","Audio File Name
（文件命名）","Note
（备注）","Casting (JP)
（选角）","Status(JP)
（录制状态）",,,,,,,,,,,,,,,
MayVersion,,Dia_Hero301_Bark_Enter_Stage,52,Bark,Enter_Stage,龙夜,Hero301,（庄重，宣告的）,1,让宏大的意志，见证我们的战斗。,（気持ちを込めて）,クンルンよ、我らに加護を,Dia_Hero301_Bark_Enter_Stage_01,,,,,,,,,,,,,,,,,,
MayVersion,,Dia_Hero301_Bark_Enter_Stage,53,Bark,Enter_Stage,龙夜,Hero301,（庄重，宣告的）,1,让宏大的意志，见证我们的战斗。,（気持ちを込めて）,クンルンよ、我らに加護を,Dia_Hero301_Bark_Enter_Stage_02,,,,,,,,,,,,,,,,,,
MayVersion,,Dia_Hero301_Bark_Enter_Stage,54,Bark,Enter_Stage,龙夜,Hero301,（庄重，宣告的）,1,让宏大的意志，见证我们的战斗。,（気持ちを込めて）,クンルンよ、我らに加護を,Dia_Hero301_Bark_Enter_Stage_03,,,,,,,,,,,,,,,,,,
MayVersion,,Dia_Hero301_Bark_Get_Hurt,55,Bark,Get_Hurt,龙夜,Hero301,（痛苦）,1,呜！,（低いダメージ時）,く、おう、ん、きゃ。。。など,Dia_Hero301_Bark_Get_Hurt_01,,,,,,,,,,,,,,,,,,
MayVersion,,Dia_Hero301_Bark_Get_Hurt,56,Bark,Get_Hurt,龙夜,Hero301,（痛苦）,1,呜！,（低いダメージ時）,く、おう、ん、きゃ。。。など,Dia_Hero301_Bark_Get_Hurt_02,,,,,,,,,,,,,,,,,,
MayVersion,,Dia_Hero301_Bark_Get_Hurt,57,Bark,Get_Hurt,龙夜,Hero301,（痛苦）,1,呜！,（低いダメージ時）,く、おう、ん、きゃ。。。など,Dia_Hero301_Bark_Get_Hurt_03,,,,,,,,,,,,,,,,,,
MayVersion,,Dia_Hero301_Bark_FallOnGroundGetHurt,58,Bark,FallOnGroundGetHurt,龙夜,Hero301,（痛苦，挣扎的）,1,是我大意了……,（高いダメージ時、とても痛そうな感じ）,ああ、うあ、うがぁ、いや。。。など,Dia_Hero301_Bark_FallOnGroundGetHurt_01,,,,,,,,,,,,,,,,,,
MayVersion,,Dia_Hero301_Bark_FallOnGroundGetHurt,59,Bark,FallOnGroundGetHurt,龙夜,Hero301,（痛苦，挣扎的）,1,是我大意了……,（高いダメージ時、とても痛そうな感じ）,ああ、うあ、うがぁ、いや。。。など,Dia_Hero301_Bark_FallOnGroundGetHurt_02,,,,,,,,,,,,,,,,,,
MayVersion,,Dia_Hero301_Bark_FallOnGroundGetHurt,60,Bark,FallOnGroundGetHurt,龙夜,Hero301,（痛苦，挣扎的）,1,是我大意了……,（高いダメージ時、とても痛そうな感じ）,ああ、うあ、うがぁ、いや。。。など,Dia_Hero301_Bark_FallOnGroundGetHurt_03,,,,,,,,,,,,,,,,,,
MayVersion,,Dia_Hero301_Bark_Stand_Up,61,Bark,Stand_Up,龙夜,Hero301,（坚毅的）,1,不能放弃。,（力強く）,まだ,Dia_Hero301_Bark_Stand_Up_01,,,,,,,,,,,,,,,,,,
