"Measurement
Format:wav
Channel:mono
SR:48kHz BR:24bit
Loudness: -16LUFS(M)
Mic Distance: 40-60cm",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Batches
（批次）",Stat,WwiseEvent,"No.
(序号）","Type
（语音类型）","Action
（模块/触发条件）","Speaker
（角色名）",TechnicalName,"Emotion
（情绪/语气）","Dialogue (CN)
（台词）","Emotion
（情绪/语气）",Dialogue (JP),"Audio File Name
（文件命名）","Note
（备注）","Casting
（选角）","Status(JP)
（录制状态）",,,,,,,,,,,,,,,
MayVersion,,Dia_Hero301_Story_MayVersion_01,1,Story,game openning,龙夜,Hero301,惊讶于荒凉，感动于广阔，比平时的情绪激动一些。,你们的世界，原来如此荒凉……与广阔。,少し驚いた感じ,あなたたちの世界はこんなに荒れ果て、広いのね。,Dia_Hero301_Story_MayVersion_01.wav,,,,,,,,,,,,,,,,,,
MayVersion,,Dia_Hero301_Story_MayVersion_02,2,Story,game openning,龙夜,Hero301,并没有苛责的意思，惆怅，失落居多。,就因为这样，你们才想夺取我的故乡？,落ち込む感じ,だから私の故郷を奪おうとしたの？,Dia_Hero301_Story_MayVersion_02.wav,,,,,,,,,,,,,,,,,,
MayVersion,,Dia_Hero101_Story_MayVersion_03,3,Story,game openning,凯尔,Hero101,不满的，对自我夸饰的情绪居多。,哼，我和那些人可不一样。,少し不満な感じ,ったく！俺をあんな奴らと一緒にしないでくれ。,Dia_Hero101_Story_MayVersion_03.wav,,,,,,,,,,,,,,,,,,
MayVersion,,Dia_Hero101_Story_MayVersion_04,4,Story,game openning,凯尔,Hero101,自豪的，自我主张的表达,我们在找的，是历史的真相。,自信満々,俺たち探しているのは歴史の真実なんだよ。,Dia_Hero101_Story_MayVersion_04.wav,,,,,,,,,,,,,,,,,,
MayVersion,,Dia_Hero101_Story_MayVersion_05,5,Story,conversation on the road,凯尔,Hero101,向往，渴望他人认同，带着热意的,过去何人创建，何人毁灭，何人留下的这些遗迹，你不想知道吗？,憧れ、他人に認められ,過去に誰が作って誰が滅ぼし、誰がこの遺跡を残したのか、お前は知りたくないのか？,Dia_Hero101_Story_MayVersion_05.wav,,,,,,,,,,,,,,,,,,
MayVersion,,Dia_Hero301_Story_MayVersion_06,6,Story,conversation on the road,龙夜,Hero301,和男主的话形成温差，似乎没有兴趣,我只想见到我的族人平安。,冷たい感じ,私はただ…妹と家族が無事であるのを確かめたいだけよ。,Dia_Hero301_Story_MayVersion_06.wav,,,,,,,,,,,,,,,,,,
MayVersion,,Dia_Mob_0100_Story_MayVersion_07,7,Story,Street fight start,帝国士兵,Mob_0100,呼喊同伴，并且警戒的,发现他们了！,警戒態勢に入る,見つけたぞ！,Dia_Mob_0100_Story_MayVersion_07.wav,,,,,,,,,,,,,,,,,,
MayVersion,,Dia_Mob_0100_Story_MayVersion_08,8,Story,Street fight start,帝国士兵,Mob_0100,有一定紧张感，也带有仇恨心,是那个叛徒和昆仑一族的女人！,敵に対して緊張、少し怒る,あの裏切り者とクンルン一族の女だ！,Dia_Mob_0100_Story_MayVersion_08.wav,,,,,,,,,,,,,,,,,,
MayVersion,,Dia_Hero301_Story_MayVersion_09,9,Story,in fighting,龙夜,Hero301,总体不屑，微微感到厌恶和愤怒,哼……,気に入らない感じ,フン！,Dia_Hero301_Story_MayVersion_09.wav,,,,,,,,,,,,,,,,,,
