"Measurement
Format:wav
Channel:mono
SR:48kHz BR:24bit
Loudness: -16LUFS(M)
Mic Distance: 40-60cm",,,Efforts 无台词动作呼喝-配在Montage ,,,"We listed 3 lines for every action for random
slightly different Tone is welcome",,,,,,,,,,,,,,,,,,,,,,,
"Batches
（批次）","Progress
（整合进度",WwiseEvent,"No.
(序号）","Type
（语音类型）","Action
（模块/触发条件）","Speaker
（角色名）","Emotion
（情绪/语气）","Audio File Name
（文件命名）","Reference 
(参考视频)
some of the vids looped 3 times for convienience","Note
（备注）","Casting（JP）
（选角）","Status(JP)
（录制状态）",,,,,,,,,,,,,,,,,
MayVersion,none,EFF_Hero301_Atk_BranchAttack_00,1,Efforts,重攻击,龙夜,attack，heavy,EFF_Hero301_Atk_BranchAttack_00_01,AM_Hero301_Atk_BranchAttack_00.mp4,,,,,,,,,,,,,,,,,,,,
MayVersion,none,EFF_Hero301_Atk_BranchAttack_00,2,Efforts,重攻击,龙夜,attack，heavy,EFF_Hero301_Atk_BranchAttack_00_02,AM_Hero301_Atk_BranchAttack_00.mp4,,,,,,,,,,,,,,,,,,,,
MayVersion,none,EFF_Hero301_Atk_BranchAttack_00,3,Efforts,重攻击,龙夜,attack，heavy,EFF_Hero301_Atk_BranchAttack_00_03,AM_Hero301_Atk_BranchAttack_00.mp4,,,,,,,,,,,,,,,,,,,,
MayVersion,none,EFF_Hero301_Atk_BranchAttack_01,4,Efforts,重攻击,龙夜,attack，heavy,EFF_Hero301_Atk_BranchAttack_01_01,AM_Hero301_Atk_BranchAttack_01.mp4,,,,,,,,,,,,,,,,,,,,
MayVersion,none,EFF_Hero301_Atk_BranchAttack_01,5,Efforts,重攻击,龙夜,attack，heavy,EFF_Hero301_Atk_BranchAttack_01_02,AM_Hero301_Atk_BranchAttack_01.mp4,,,,,,,,,,,,,,,,,,,,
MayVersion,none,EFF_Hero301_Atk_BranchAttack_01,6,Efforts,重攻击,龙夜,attack，heavy,EFF_Hero301_Atk_BranchAttack_01_03,AM_Hero301_Atk_BranchAttack_01.mp4,,,,,,,,,,,,,,,,,,,,
MayVersion,none,EFF_Hero301_Atk_BranchAttack_02,7,Efforts,重攻击,龙夜,attack，heavy,EFF_Hero301_Atk_BranchAttack_02_01,AM_Hero301_Atk_BranchAttack_02.mp4,,,,,,,,,,,,,,,,,,,,
MayVersion,none,EFF_Hero301_Atk_BranchAttack_02,8,Efforts,重攻击,龙夜,attack，heavy,EFF_Hero301_Atk_BranchAttack_02_02,AM_Hero301_Atk_BranchAttack_02.mp4,,,,,,,,,,,,,,,,,,,,
MayVersion,none,EFF_Hero301_Atk_BranchAttack_02,9,Efforts,重攻击,龙夜,attack，heavy,EFF_Hero301_Atk_BranchAttack_02_03,AM_Hero301_Atk_BranchAttack_02.mp4,,,,,,,,,,,,,,,,,,,,
MayVersion,none,EFF_Hero301_Atk_BranchAttack_03,10,Efforts,重攻击,龙夜,attack，heavy,EFF_Hero301_Atk_BranchAttack_03_01,AM_Hero301_Atk_BranchAttack_03.mp4,,,,,,,,,,,,,,,,,,,,
MayVersion,none,EFF_Hero301_Atk_BranchAttack_03,11,Efforts,重攻击,龙夜,attack，heavy,EFF_Hero301_Atk_BranchAttack_03_02,AM_Hero301_Atk_BranchAttack_03.mp4,,,,,,,,,,,,,,,,,,,,
MayVersion,none,EFF_Hero301_Atk_BranchAttack_03,12,Efforts,重攻击,龙夜,attack，heavy,EFF_Hero301_Atk_BranchAttack_03_03,AM_Hero301_Atk_BranchAttack_03.mp4,,,,,,,,,,,,,,,,,,,,
